assignment_id,user_id,experiment_name,variant,assigned_at
1-PriceTest_2025Q2,1,PriceTest_2025Q2,B,2025-06-13T00:00:00
1-TipPrompt_2025Q2,1,TipPrompt_2025Q2,persuasive,2025-06-13T00:00:00
5-PriceTest_2025Q2,5,PriceTest_2025Q2,A,2025-06-23T00:00:00
5-TipPrompt_2025Q2,5,TipPrompt_2025Q2,control,2025-06-23T00:00:00
6-PriceTest_2025Q2,6,PriceTest_2025Q2,B,2025-06-01T00:00:00
6-TipPrompt_2025Q2,6,TipPrompt_2025Q2,persuasive,2025-06-01T00:00:00
10-PriceTest_2025Q2,10,PriceTest_2025Q2,A,2025-05-24T00:00:00
10-TipPrompt_2025Q2,10,TipPrompt_2025Q2,control,2025-05-24T00:00:00
11-TipPrompt_2025Q2,11,TipPrompt_2025Q2,control,2025-07-03T00:00:00
13-PriceTest_2025Q2,13,PriceTest_2025Q2,B,2025-05-31T00:00:00
13-TipPrompt_2025Q2,13,TipPrompt_2025Q2,persuasive,2025-05-31T00:00:00
15-TipPrompt_2025Q2,15,TipPrompt_2025Q2,social_proof,2025-07-14T00:00:00
16-PriceTest_2025Q2,16,PriceTest_2025Q2,B,2025-06-28T00:00:00
16-TipPrompt_2025Q2,16,TipPrompt_2025Q2,persuasive,2025-06-28T00:00:00
17-PriceTest_2025Q2,17,PriceTest_2025Q2,A,2025-03-29T00:00:00
19-TipPrompt_2025Q2,19,TipPrompt_2025Q2,persuasive,2025-07-15T00:00:00
21-PriceTest_2025Q2,21,PriceTest_2025Q2,B,2025-04-08T00:00:00
21-TipPrompt_2025Q2,21,TipPrompt_2025Q2,control,2025-04-08T00:00:00
22-PriceTest_2025Q2,22,PriceTest_2025Q2,B,2025-04-02T00:00:00
22-TipPrompt_2025Q2,22,TipPrompt_2025Q2,persuasive,2025-04-02T00:00:00
23-PriceTest_2025Q2,23,PriceTest_2025Q2,A,2025-06-04T00:00:00
23-TipPrompt_2025Q2,23,TipPrompt_2025Q2,control,2025-06-04T00:00:00
25-TipPrompt_2025Q2,25,TipPrompt_2025Q2,social_proof,2025-07-06T00:00:00
26-PriceTest_2025Q2,26,PriceTest_2025Q2,A,2025-05-18T00:00:00
26-TipPrompt_2025Q2,26,TipPrompt_2025Q2,control,2025-05-18T00:00:00
27-PriceTest_2025Q2,27,PriceTest_2025Q2,A,2025-04-07T00:00:00
27-TipPrompt_2025Q2,27,TipPrompt_2025Q2,persuasive,2025-04-07T00:00:00
28-PriceTest_2025Q2,28,PriceTest_2025Q2,B,2025-05-22T00:00:00
28-TipPrompt_2025Q2,28,TipPrompt_2025Q2,control,2025-05-22T00:00:00
29-PriceTest_2025Q2,29,PriceTest_2025Q2,A,2025-06-10T00:00:00
29-TipPrompt_2025Q2,29,TipPrompt_2025Q2,persuasive,2025-06-10T00:00:00
30-PriceTest_2025Q2,30,PriceTest_2025Q2,B,2025-05-28T00:00:00
30-TipPrompt_2025Q2,30,TipPrompt_2025Q2,persuasive,2025-05-28T00:00:00
31-PriceTest_2025Q2,31,PriceTest_2025Q2,A,2025-06-30T00:00:00
31-TipPrompt_2025Q2,31,TipPrompt_2025Q2,persuasive,2025-06-30T00:00:00
37-PriceTest_2025Q2,37,PriceTest_2025Q2,B,2025-06-12T00:00:00
37-TipPrompt_2025Q2,37,TipPrompt_2025Q2,control,2025-06-12T00:00:00
39-PriceTest_2025Q2,39,PriceTest_2025Q2,A,2025-04-01T00:00:00
39-TipPrompt_2025Q2,39,TipPrompt_2025Q2,social_proof,2025-04-01T00:00:00
40-PriceTest_2025Q2,40,PriceTest_2025Q2,A,2025-06-21T00:00:00
40-TipPrompt_2025Q2,40,TipPrompt_2025Q2,persuasive,2025-06-21T00:00:00
41-PriceTest_2025Q2,41,PriceTest_2025Q2,A,2025-06-29T00:00:00
41-TipPrompt_2025Q2,41,TipPrompt_2025Q2,control,2025-06-29T00:00:00
42-PriceTest_2025Q2,42,PriceTest_2025Q2,B,2025-06-05T00:00:00
42-TipPrompt_2025Q2,42,TipPrompt_2025Q2,persuasive,2025-06-05T00:00:00
43-PriceTest_2025Q2,43,PriceTest_2025Q2,B,2025-05-17T00:00:00
43-TipPrompt_2025Q2,43,TipPrompt_2025Q2,social_proof,2025-05-17T00:00:00
45-PriceTest_2025Q2,45,PriceTest_2025Q2,A,2025-04-08T00:00:00
45-TipPrompt_2025Q2,45,TipPrompt_2025Q2,persuasive,2025-04-08T00:00:00
46-PriceTest_2025Q2,46,PriceTest_2025Q2,A,2025-06-13T00:00:00
46-TipPrompt_2025Q2,46,TipPrompt_2025Q2,social_proof,2025-06-13T00:00:00
47-PriceTest_2025Q2,47,PriceTest_2025Q2,A,2025-06-25T00:00:00
47-TipPrompt_2025Q2,47,TipPrompt_2025Q2,control,2025-06-25T00:00:00
51-PriceTest_2025Q2,51,PriceTest_2025Q2,B,2025-04-13T00:00:00
51-TipPrompt_2025Q2,51,TipPrompt_2025Q2,social_proof,2025-04-13T00:00:00
53-PriceTest_2025Q2,53,PriceTest_2025Q2,A,2025-05-26T00:00:00
53-TipPrompt_2025Q2,53,TipPrompt_2025Q2,persuasive,2025-05-26T00:00:00
55-PriceTest_2025Q2,55,PriceTest_2025Q2,A,2025-04-12T00:00:00
55-TipPrompt_2025Q2,55,TipPrompt_2025Q2,persuasive,2025-04-12T00:00:00
58-TipPrompt_2025Q2,58,TipPrompt_2025Q2,persuasive,2025-07-10T00:00:00
59-TipPrompt_2025Q2,59,TipPrompt_2025Q2,persuasive,2025-07-11T00:00:00
60-PriceTest_2025Q2,60,PriceTest_2025Q2,A,2025-05-30T00:00:00
60-TipPrompt_2025Q2,60,TipPrompt_2025Q2,persuasive,2025-05-30T00:00:00
61-PriceTest_2025Q2,61,PriceTest_2025Q2,B,2025-04-03T00:00:00
61-TipPrompt_2025Q2,61,TipPrompt_2025Q2,persuasive,2025-04-03T00:00:00
65-PriceTest_2025Q2,65,PriceTest_2025Q2,B,2025-06-10T00:00:00
65-TipPrompt_2025Q2,65,TipPrompt_2025Q2,persuasive,2025-06-10T00:00:00
67-PriceTest_2025Q2,67,PriceTest_2025Q2,B,2025-06-02T00:00:00
67-TipPrompt_2025Q2,67,TipPrompt_2025Q2,persuasive,2025-06-02T00:00:00
68-PriceTest_2025Q2,68,PriceTest_2025Q2,A,2025-04-09T00:00:00
68-TipPrompt_2025Q2,68,TipPrompt_2025Q2,social_proof,2025-04-09T00:00:00
69-PriceTest_2025Q2,69,PriceTest_2025Q2,A,2025-06-02T00:00:00
69-TipPrompt_2025Q2,69,TipPrompt_2025Q2,persuasive,2025-06-02T00:00:00
70-PriceTest_2025Q2,70,PriceTest_2025Q2,A,2025-05-16T00:00:00
70-TipPrompt_2025Q2,70,TipPrompt_2025Q2,persuasive,2025-05-16T00:00:00
71-PriceTest_2025Q2,71,PriceTest_2025Q2,B,2025-05-22T00:00:00
71-TipPrompt_2025Q2,71,TipPrompt_2025Q2,persuasive,2025-05-22T00:00:00
72-PriceTest_2025Q2,72,PriceTest_2025Q2,A,2025-06-24T00:00:00
72-TipPrompt_2025Q2,72,TipPrompt_2025Q2,social_proof,2025-06-24T00:00:00
73-PriceTest_2025Q2,73,PriceTest_2025Q2,B,2025-06-24T00:00:00
73-TipPrompt_2025Q2,73,TipPrompt_2025Q2,social_proof,2025-06-24T00:00:00
76-PriceTest_2025Q2,76,PriceTest_2025Q2,A,2025-04-22T00:00:00
76-TipPrompt_2025Q2,76,TipPrompt_2025Q2,social_proof,2025-04-22T00:00:00
77-PriceTest_2025Q2,77,PriceTest_2025Q2,B,2025-04-27T00:00:00
77-TipPrompt_2025Q2,77,TipPrompt_2025Q2,control,2025-04-27T00:00:00
78-TipPrompt_2025Q2,78,TipPrompt_2025Q2,social_proof,2025-07-04T00:00:00
79-PriceTest_2025Q2,79,PriceTest_2025Q2,B,2025-05-09T00:00:00
79-TipPrompt_2025Q2,79,TipPrompt_2025Q2,control,2025-05-09T00:00:00
80-PriceTest_2025Q2,80,PriceTest_2025Q2,A,2025-05-10T00:00:00
80-TipPrompt_2025Q2,80,TipPrompt_2025Q2,persuasive,2025-05-10T00:00:00
81-PriceTest_2025Q2,81,PriceTest_2025Q2,B,2025-06-10T00:00:00
81-TipPrompt_2025Q2,81,TipPrompt_2025Q2,social_proof,2025-06-10T00:00:00
82-PriceTest_2025Q2,82,PriceTest_2025Q2,A,2025-06-13T00:00:00
82-TipPrompt_2025Q2,82,TipPrompt_2025Q2,control,2025-06-13T00:00:00
84-TipPrompt_2025Q2,84,TipPrompt_2025Q2,social_proof,2025-07-15T00:00:00
85-PriceTest_2025Q2,85,PriceTest_2025Q2,A,2025-05-19T00:00:00
85-TipPrompt_2025Q2,85,TipPrompt_2025Q2,social_proof,2025-05-19T00:00:00
86-PriceTest_2025Q2,86,PriceTest_2025Q2,A,2025-06-03T00:00:00
86-TipPrompt_2025Q2,86,TipPrompt_2025Q2,social_proof,2025-06-03T00:00:00
87-PriceTest_2025Q2,87,PriceTest_2025Q2,A,2025-05-06T00:00:00
87-TipPrompt_2025Q2,87,TipPrompt_2025Q2,control,2025-05-06T00:00:00
94-TipPrompt_2025Q2,94,TipPrompt_2025Q2,persuasive,2025-07-14T00:00:00
96-PriceTest_2025Q2,96,PriceTest_2025Q2,A,2025-05-21T00:00:00
96-TipPrompt_2025Q2,96,TipPrompt_2025Q2,persuasive,2025-05-21T00:00:00
99-TipPrompt_2025Q2,99,TipPrompt_2025Q2,persuasive,2025-07-02T00:00:00
100-PriceTest_2025Q2,100,PriceTest_2025Q2,B,2025-04-13T00:00:00
100-TipPrompt_2025Q2,100,TipPrompt_2025Q2,persuasive,2025-04-13T00:00:00
101-PriceTest_2025Q2,101,PriceTest_2025Q2,B,2025-04-23T00:00:00
101-TipPrompt_2025Q2,101,TipPrompt_2025Q2,social_proof,2025-04-23T00:00:00
104-PriceTest_2025Q2,104,PriceTest_2025Q2,B,2025-03-28T00:00:00
105-PriceTest_2025Q2,105,PriceTest_2025Q2,A,2025-05-31T00:00:00
105-TipPrompt_2025Q2,105,TipPrompt_2025Q2,control,2025-05-31T00:00:00
106-PriceTest_2025Q2,106,PriceTest_2025Q2,A,2025-05-31T00:00:00
106-TipPrompt_2025Q2,106,TipPrompt_2025Q2,control,2025-05-31T00:00:00
108-TipPrompt_2025Q2,108,TipPrompt_2025Q2,control,2025-07-01T00:00:00
114-TipPrompt_2025Q2,114,TipPrompt_2025Q2,control,2025-07-05T00:00:00
119-PriceTest_2025Q2,119,PriceTest_2025Q2,B,2025-04-01T00:00:00
119-TipPrompt_2025Q2,119,TipPrompt_2025Q2,control,2025-04-01T00:00:00
120-PriceTest_2025Q2,120,PriceTest_2025Q2,B,2025-04-16T00:00:00
120-TipPrompt_2025Q2,120,TipPrompt_2025Q2,control,2025-04-16T00:00:00
121-TipPrompt_2025Q2,121,TipPrompt_2025Q2,control,2025-07-06T00:00:00
122-PriceTest_2025Q2,122,PriceTest_2025Q2,A,2025-06-22T00:00:00
122-TipPrompt_2025Q2,122,TipPrompt_2025Q2,persuasive,2025-06-22T00:00:00
124-TipPrompt_2025Q2,124,TipPrompt_2025Q2,control,2025-07-06T00:00:00
130-PriceTest_2025Q2,130,PriceTest_2025Q2,A,2025-04-29T00:00:00
130-TipPrompt_2025Q2,130,TipPrompt_2025Q2,social_proof,2025-04-29T00:00:00
136-PriceTest_2025Q2,136,PriceTest_2025Q2,B,2025-05-05T00:00:00
136-TipPrompt_2025Q2,136,TipPrompt_2025Q2,control,2025-05-05T00:00:00
139-PriceTest_2025Q2,139,PriceTest_2025Q2,A,2025-04-08T00:00:00
139-TipPrompt_2025Q2,139,TipPrompt_2025Q2,social_proof,2025-04-08T00:00:00
140-PriceTest_2025Q2,140,PriceTest_2025Q2,A,2025-04-10T00:00:00
140-TipPrompt_2025Q2,140,TipPrompt_2025Q2,social_proof,2025-04-10T00:00:00
142-PriceTest_2025Q2,142,PriceTest_2025Q2,A,2025-03-15T00:00:00
143-PriceTest_2025Q2,143,PriceTest_2025Q2,B,2025-06-28T00:00:00
143-TipPrompt_2025Q2,143,TipPrompt_2025Q2,social_proof,2025-06-28T00:00:00
145-PriceTest_2025Q2,145,PriceTest_2025Q2,A,2025-03-17T00:00:00
147-TipPrompt_2025Q2,147,TipPrompt_2025Q2,control,2025-07-11T00:00:00
149-PriceTest_2025Q2,149,PriceTest_2025Q2,B,2025-05-30T00:00:00
149-TipPrompt_2025Q2,149,TipPrompt_2025Q2,social_proof,2025-05-30T00:00:00
150-PriceTest_2025Q2,150,PriceTest_2025Q2,B,2025-05-09T00:00:00
150-TipPrompt_2025Q2,150,TipPrompt_2025Q2,social_proof,2025-05-09T00:00:00
153-PriceTest_2025Q2,153,PriceTest_2025Q2,B,2025-06-02T00:00:00
153-TipPrompt_2025Q2,153,TipPrompt_2025Q2,control,2025-06-02T00:00:00
154-PriceTest_2025Q2,154,PriceTest_2025Q2,A,2025-06-22T00:00:00
154-TipPrompt_2025Q2,154,TipPrompt_2025Q2,control,2025-06-22T00:00:00
155-PriceTest_2025Q2,155,PriceTest_2025Q2,B,2025-04-14T00:00:00
155-TipPrompt_2025Q2,155,TipPrompt_2025Q2,persuasive,2025-04-14T00:00:00
156-PriceTest_2025Q2,156,PriceTest_2025Q2,B,2025-05-26T00:00:00
156-TipPrompt_2025Q2,156,TipPrompt_2025Q2,control,2025-05-26T00:00:00
157-PriceTest_2025Q2,157,PriceTest_2025Q2,A,2025-05-29T00:00:00
157-TipPrompt_2025Q2,157,TipPrompt_2025Q2,control,2025-05-29T00:00:00
158-PriceTest_2025Q2,158,PriceTest_2025Q2,A,2025-06-08T00:00:00
158-TipPrompt_2025Q2,158,TipPrompt_2025Q2,control,2025-06-08T00:00:00
159-PriceTest_2025Q2,159,PriceTest_2025Q2,B,2025-04-18T00:00:00
