loan_id,user_id,requested_at,approved_at,disbursed_at,due_date,repaid_at,amount,fee,tip_amount,instant_transfer_fee,status,late_days,chargeoff_flag,autopay_enrolled,principal_repaid,writeoff_amount,price_variant,tip_variant
L1-1,1,2025-06-23T00:00:00,2025-06-23 21:42:46.474120,2025-06-24 01:02:39.836662,2025-07-08,2025-07-10T01:02:39.836662,139.11,2.03,0.0,0.0,repaid,2,0,1,139.11,0.0,B,persuasive
L2-1,2,2025-01-12T00:00:00,2025-01-12 08:48:47.599663,2025-01-12 12:00:17.053184,2025-01-26,2025-01-26T12:00:17.053184,190.9,0.0,0.0,0.0,repaid,0,0,0,190.9,0.0,A,control
L3-1,3,2025-04-17T00:00:00,2025-04-17 23:52:16.429991,2025-04-18 02:42:05.993967,2025-05-02,,79.54,0.0,0.0,0.0,default,17,1,1,0.0,74.0,A,control
L3-2,3,2025-03-23T00:00:00,2025-03-23 14:41:45.518330,2025-03-24 18:26:14.424333,2025-04-07,,133.3,0.0,0.0,0.0,default,22,1,0,0.0,117.27,A,control
L8-1,8,2025-02-13T00:00:00,2025-02-13 03:03:12.419744,2025-02-13 08:21:20.410779,2025-02-27,2025-03-01T08:21:20.410779,40.0,0.0,0.0,0.0,repaid,2,0,0,40.0,0.0,A,control
L9-1,9,2025-03-09T00:00:00,2025-03-09 02:48:26.757922,2025-03-09 05:41:56.397043,2025-03-23,2025-03-24T05:41:56.397043,124.95,0.0,0.0,0.0,repaid,1,0,1,124.95,0.0,A,control
L9-2,9,2025-03-16T00:00:00,2025-03-16 22:18:47.984691,2025-03-17 20:59:58.670576,2025-03-31,2025-04-01T20:59:58.670576,109.08,0.0,0.0,0.0,repaid,1,0,0,109.08,0.0,A,control
L10-1,10,2025-05-27T00:00:00,,,,,116.08,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,control
L10-2,10,2025-06-02T00:00:00,,,,,199.96,0.0,0.0,0.0,requested,0,0,0,0.0,0.0,A,control
L12-1,12,2025-03-04T00:00:00,2025-03-04 09:36:01.753459,2025-03-04 11:42:32.946903,2025-03-18,2025-03-19T11:42:32.946903,106.46,0.0,0.0,0.0,repaid,1,0,1,106.46,0.0,A,control
L12-2,12,2025-04-05T00:00:00,2025-04-05 09:18:31.779869,2025-04-05 15:49:08.938171,2025-04-19,2025-04-22T15:49:08.938171,198.19,0.0,0.0,0.0,repaid,3,0,1,198.19,0.0,A,control
L13-1,13,2025-07-21T00:00:00,,,,,206.24,2.61,0.0,2.99,requested,0,0,1,0.0,0.0,B,persuasive
L17-1,17,2025-04-09T00:00:00,,,,,118.51,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,control
L17-2,17,2025-05-28T00:00:00,,,,,70.76,0.0,0.0,0.0,requested,0,0,0,0.0,0.0,A,control
L18-1,18,2025-02-11T00:00:00,,,,,154.12,0.0,0.0,0.0,requested,0,0,0,0.0,0.0,A,control
L18-2,18,2025-03-04T00:00:00,2025-03-04 21:03:33.800368,2025-03-05 00:34:26.961923,2025-03-19,2025-03-19T00:34:26.961923,236.21,0.0,0.0,0.0,repaid,0,0,1,236.21,0.0,A,control
L20-1,20,2025-02-07T00:00:00,2025-02-07 14:54:22.757326,2025-02-07 20:27:05.559825,2025-02-21,2025-02-25T20:27:05.559825,40.0,0.0,0.0,0.0,repaid,4,0,0,40.0,0.0,A,control
L20-2,20,2025-03-23T00:00:00,,,,,138.84,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,control
L20-3,20,2025-03-17T00:00:00,,,,,40.0,0.0,0.0,0.0,requested,0,0,0,0.0,0.0,A,control
L20-4,20,2025-04-18T00:00:00,2025-04-18 08:26:37.828161,2025-04-18 12:19:43.253016,2025-05-02,2025-05-02T12:19:43.253016,149.84,0.0,0.0,0.0,repaid,0,0,1,149.84,0.0,A,control
L20-5,20,2025-05-28T00:00:00,2025-05-30 06:10:42.846176,2025-05-31 01:46:46.749458,2025-06-14,2025-06-16T01:46:46.749458,158.52,0.0,0.0,0.0,repaid,2,0,0,158.52,0.0,A,control
L23-1,23,2025-06-29T00:00:00,,,,,166.54,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,control
L23-2,23,2025-06-24T00:00:00,,,,,61.7,0.0,0.0,0.0,requested,0,0,0,0.0,0.0,A,control
L25-1,25,2025-07-09T00:00:00,,,,,40.0,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,social_proof
L27-1,27,2025-05-17T00:00:00,2025-05-17 14:50:03.922740,2025-05-17 18:51:53.204018,2025-05-31,,223.32,0.0,0.0,0.0,default,25,1,1,0.0,209.36,A,persuasive
L27-2,27,2025-04-20T00:00:00,2025-04-20 04:46:39.215655,2025-04-20 10:27:29.810734,2025-05-04,2025-05-05T10:27:29.810734,236.91,0.0,0.0,0.0,repaid,1,0,1,236.91,0.0,A,persuasive
L27-4,27,2025-05-30T00:00:00,2025-05-30 03:44:01.410881,2025-05-30 06:54:10.500176,2025-06-13,,232.85,0.0,5.0,0.0,default,26,1,0,0.0,179.44,A,persuasive
L27-5,27,2025-06-10T00:00:00,,,,,178.42,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,persuasive
L27-6,27,2025-07-09T00:00:00,2025-07-09 06:07:05.656744,2025-07-09 06:44:09.467990,2025-07-23,2025-07-25T06:44:09.467990,181.9,0.0,0.0,0.0,repaid,2,0,1,181.9,0.0,A,persuasive
L28-1,28,2025-05-23T00:00:00,2025-05-24 02:50:25.217375,2025-05-25 01:56:17.542708,2025-06-08,2025-06-08T01:56:17.542708,118.33,1.99,7.0,0.0,repaid,0,0,1,118.33,0.0,B,control
L29-1,29,2025-06-12T00:00:00,,,,,134.66,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,persuasive
L31-1,31,2025-07-14T00:00:00,,,,,242.34,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,persuasive
L32-1,32,2025-02-09T00:00:00,2025-02-09 18:13:47.024456,2025-02-10 07:12:56.600840,2025-02-24,2025-02-26T07:12:56.600840,181.1,0.0,0.0,0.0,repaid,2,0,1,181.1,0.0,A,control
L32-2,32,2025-01-26T00:00:00,2025-01-26 10:55:27.449188,2025-01-27 01:12:10.406407,2025-02-10,2025-02-14T01:12:10.406407,123.59,0.0,0.0,0.0,repaid,4,0,0,123.59,0.0,A,control
L32-3,32,2025-03-31T00:00:00,,,,,71.55,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,control
L35-1,35,2025-01-31T00:00:00,,,,,117.87,0.0,0.0,0.0,requested,0,0,0,0.0,0.0,A,control
L36-1,36,2025-04-02T00:00:00,2025-04-02 14:33:03.474620,2025-04-02 14:55:03.101525,2025-04-16,2025-04-16T14:55:03.101525,75.93,0.0,0.0,0.0,repaid,0,0,0,75.93,0.0,A,control
L39-1,39,2025-05-11T00:00:00,2025-05-11 09:19:22.182782,2025-05-11 10:44:59.871142,2025-05-25,,227.74,0.0,0.0,0.0,default,24,1,0,0.0,167.99,A,social_proof
L39-2,39,2025-05-18T00:00:00,,,,,48.68,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,social_proof
L39-3,39,2025-06-02T00:00:00,2025-06-03 06:27:39.093550,2025-06-03 15:02:52.445537,2025-06-17,2025-06-17T15:02:52.445537,87.79,0.0,0.0,0.0,repaid,0,0,1,87.79,0.0,A,social_proof
L41-1,41,2025-07-01T00:00:00,2025-07-01 04:21:59.503055,2025-07-01 12:07:16.516093,2025-07-15,2025-07-18T12:07:16.516093,157.52,0.0,0.0,0.0,repaid,3,0,0,157.52,0.0,A,control
L42-1,42,2025-06-30T00:00:00,2025-06-30 00:24:03.562597,2025-06-30 06:01:10.987561,2025-07-14,2025-07-20T06:01:10.987561,189.14,2.22,0.0,1.99,repaid,6,0,1,189.14,0.0,B,persuasive
L44-1,44,2025-03-05T00:00:00,,,,,110.84,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,control
L44-2,44,2025-03-25T00:00:00,,,,,123.12,0.0,0.0,0.0,requested,0,0,0,0.0,0.0,A,control
L45-1,45,2025-06-10T00:00:00,2025-06-10 02:21:33.052888,2025-06-10 04:17:55.131398,2025-06-24,2025-06-24T04:17:55.131398,120.22,0.0,0.0,0.0,repaid,0,0,1,120.22,0.0,A,persuasive
L45-2,45,2025-06-23T00:00:00,2025-06-23 19:03:35.235104,2025-06-23 19:17:18.518072,2025-07-07,,187.82,0.0,0.0,0.0,default,14,1,1,0.0,144.55,A,persuasive
L46-1,46,2025-06-19T00:00:00,2025-06-19 07:11:03.979454,2025-06-19 12:35:54.587729,2025-07-03,2025-07-03T12:35:54.587729,150.73,0.0,0.0,0.0,repaid,0,0,1,150.73,0.0,A,social_proof
L46-2,46,2025-06-20T00:00:00,,,,,111.98,0.0,0.0,0.0,requested,0,0,1,0.0,0.0,A,social_proof
