event_id,user_id,session_id,ts,event_name,screen,properties_json
1-app_open-880268285,1,sess-1,2025-06-13T01:55:00,app_open,home,{}
1-view_onboarding-580411500,1,sess-1,2025-06-13T01:48:00,view_onboarding,home,{}
1-link_bank_start-184176985,1,sess-1,2025-06-13T00:13:00,link_bank_start,onboarding,{}
1-link_bank_success-95587528,1,sess-1,2025-06-13T00:52:00,link_bank_success,onboarding,{}
2-app_open-58972551,2,sess-2,2025-01-07T01:47:00,app_open,home,{}
2-view_onboarding-170036117,2,sess-2,2025-01-07T01:24:00,view_onboarding,home,{}
2-link_bank_start-714422692,2,sess-2,2025-01-07T01:24:00,link_bank_start,onboarding,{}
3-app_open-29452102,3,sess-3,2025-03-04T01:20:00,app_open,home,{}
3-view_onboarding-862482588,3,sess-3,2025-03-04T01:24:00,view_onboarding,home,{}
3-link_bank_start-674062980,3,sess-3,2025-03-04T00:33:00,link_bank_start,onboarding,{}
3-link_bank_success-102089279,3,sess-3,2025-03-04T01:48:00,link_bank_success,onboarding,{}
3-start_advance_request-999534278,3,sess-3,2025-03-04T01:55:00,start_advance_request,loan,{}
4-app_open-585992094,4,sess-4,2025-02-05T02:00:00,app_open,home,{}
4-view_onboarding-858119261,4,sess-4,2025-02-05T00:10:00,view_onboarding,home,{}
5-app_open-252555607,5,sess-5,2025-06-23T00:47:00,app_open,home,{}
5-view_onboarding-734811089,5,sess-5,2025-06-23T01:29:00,view_onboarding,home,{}
5-link_bank_start-806300301,5,sess-5,2025-06-23T01:18:00,link_bank_start,onboarding,{}
5-link_bank_success-613710528,5,sess-5,2025-06-23T01:05:00,link_bank_success,onboarding,{}
6-app_open-639385279,6,sess-6,2025-06-01T01:04:00,app_open,home,{}
6-view_onboarding-950208872,6,sess-6,2025-06-01T01:39:00,view_onboarding,home,{}
6-link_bank_start-627830748,6,sess-6,2025-06-01T00:57:00,link_bank_start,onboarding,{}
6-link_bank_success-967261491,6,sess-6,2025-06-01T00:18:00,link_bank_success,onboarding,{}
6-start_advance_request-963626207,6,sess-6,2025-06-01T00:14:00,start_advance_request,loan,{}
6-submit_advance_request-89658291,6,sess-6,2025-06-01T00:56:00,submit_advance_request,loan,{}
7-app_open-24065945,7,sess-7,2025-01-09T01:33:00,app_open,home,{}
7-view_onboarding-897949120,7,sess-7,2025-01-09T01:08:00,view_onboarding,home,{}
7-link_bank_start-540789556,7,sess-7,2025-01-09T01:20:00,link_bank_start,onboarding,{}
8-app_open-630981590,8,sess-8,2025-01-24T00:37:00,app_open,home,{}
8-view_onboarding-996221288,8,sess-8,2025-01-24T01:24:00,view_onboarding,home,{}
8-link_bank_start-545694387,8,sess-8,2025-01-24T00:03:00,link_bank_start,onboarding,{}
8-link_bank_success-875441967,8,sess-8,2025-01-24T01:45:00,link_bank_success,onboarding,{}
9-app_open-914184419,9,sess-9,2025-03-01T00:09:00,app_open,home,{}
9-view_onboarding-586926777,9,sess-9,2025-03-01T01:58:00,view_onboarding,home,{}
9-link_bank_start-428424764,9,sess-9,2025-03-01T01:54:00,link_bank_start,onboarding,{}
9-link_bank_success-279211236,9,sess-9,2025-03-01T00:38:00,link_bank_success,onboarding,{}
10-app_open-574563495,10,sess-10,2025-05-24T00:17:00,app_open,home,{}
11-app_open-172567837,11,sess-11,2025-07-03T01:37:00,app_open,home,{}
11-view_onboarding-129109819,11,sess-11,2025-07-03T00:57:00,view_onboarding,home,{}
11-link_bank_start-945083211,11,sess-11,2025-07-03T01:53:00,link_bank_start,onboarding,{}
12-app_open-382306701,12,sess-12,2025-02-26T01:06:00,app_open,home,{}
12-view_onboarding-550985609,12,sess-12,2025-02-26T01:34:00,view_onboarding,home,{}
12-link_bank_start-995468505,12,sess-12,2025-02-26T00:29:00,link_bank_start,onboarding,{}
13-app_open-613200665,13,sess-13,2025-05-31T00:56:00,app_open,home,{}
13-view_onboarding-544223888,13,sess-13,2025-05-31T00:47:00,view_onboarding,home,{}
13-link_bank_start-469942272,13,sess-13,2025-05-31T01:59:00,link_bank_start,onboarding,{}
13-link_bank_success-12384565,13,sess-13,2025-05-31T01:09:00,link_bank_success,onboarding,{}
13-start_advance_request-185301040,13,sess-13,2025-05-31T00:07:00,start_advance_request,loan,{}
13-submit_advance_request-871739085,13,sess-13,2025-05-31T00:03:00,submit_advance_request,loan,{}
14-app_open-278636735,14,sess-14,2025-07-27T01:09:00,app_open,home,{}
14-view_onboarding-50275090,14,sess-14,2025-07-27T00:53:00,view_onboarding,home,{}
14-link_bank_start-509283948,14,sess-14,2025-07-27T00:40:00,link_bank_start,onboarding,{}
14-link_bank_success-508175440,14,sess-14,2025-07-27T01:25:00,link_bank_success,onboarding,{}
14-start_advance_request-100606464,14,sess-14,2025-07-27T01:46:00,start_advance_request,loan,{}
15-app_open-904726939,15,sess-15,2025-07-14T00:23:00,app_open,home,{}
15-view_onboarding-904218144,15,sess-15,2025-07-14T00:24:00,view_onboarding,home,{}
15-link_bank_start-408290226,15,sess-15,2025-07-14T01:12:00,link_bank_start,onboarding,{}
15-link_bank_success-91405535,15,sess-15,2025-07-14T00:38:00,link_bank_success,onboarding,{}
15-start_advance_request-639606947,15,sess-15,2025-07-14T00:51:00,start_advance_request,loan,{}
15-submit_advance_request-98251358,15,sess-15,2025-07-14T01:37:00,submit_advance_request,loan,{}
16-app_open-695733154,16,sess-16,2025-06-28T01:25:00,app_open,home,{}
16-view_onboarding-90229226,16,sess-16,2025-06-28T01:59:00,view_onboarding,home,{}
17-app_open-169469725,17,sess-17,2025-03-29T01:05:00,app_open,home,{}
17-view_onboarding-956693176,17,sess-17,2025-03-29T01:03:00,view_onboarding,home,{}
17-link_bank_start-724067554,17,sess-17,2025-03-29T01:44:00,link_bank_start,onboarding,{}
17-link_bank_success-633969325,17,sess-17,2025-03-29T00:34:00,link_bank_success,onboarding,{}
17-start_advance_request-849827239,17,sess-17,2025-03-29T00:21:00,start_advance_request,loan,{}
17-submit_advance_request-644139559,17,sess-17,2025-03-29T01:25:00,submit_advance_request,loan,{}
17-approved-454702303,17,sess-17,2025-03-29T01:11:00,approved,home,{}
18-app_open-970460337,18,sess-18,2025-02-09T01:04:00,app_open,home,{}
18-view_onboarding-161530516,18,sess-18,2025-02-09T00:59:00,view_onboarding,home,{}
18-link_bank_start-779757157,18,sess-18,2025-02-09T01:36:00,link_bank_start,onboarding,{}
18-link_bank_success-421019033,18,sess-18,2025-02-09T01:14:00,link_bank_success,onboarding,{}
19-app_open-719703548,19,sess-19,2025-07-15T01:59:00,app_open,home,{}
19-view_onboarding-910460459,19,sess-19,2025-07-15T01:01:00,view_onboarding,home,{}
