user_id,signup_at,province,device_os,acquisition_channel,bank_linked_at,payroll_frequency,baseline_risk_score,fico_band
1,2025-06-13T00:00:00,ON,ios,email,,biweekly,0.2486,680-739
2,2025-01-07T00:00:00,BC,android,paid_social,2025-01-11T09:06:24.207317,semimonthly,0.2504,640-679
3,2025-03-04T00:00:00,QC,ios,organic,2025-03-05T04:23:28.054381,weekly,0.2509,640-679
4,2025-02-05T00:00:00,ON,ios,paid_search,2025-02-05T01:25:36.895774,biweekly,0.1252,740+
5,2025-06-23T00:00:00,QC,ios,organic,2025-06-23T01:02:59.321916,monthly,0.5435,580-639
6,2025-06-01T00:00:00,QC,android,organic,,semimonthly,0.3579,640-679
7,2025-01-09T00:00:00,ON,ios,organic,2025-01-09T09:29:48.527867,semimonthly,0.1332,740+
8,2025-01-24T00:00:00,AB,ios,organic,,semimonthly,0.27,640-679
9,2025-03-01T00:00:00,ON,ios,organic,2025-03-03T11:39:21.193739,biweekly,0.2077,680-739
10,2025-05-24T00:00:00,BC,ios,paid_social,,biweekly,0.42,580-639
11,2025-07-03T00:00:00,AB,android,paid_search,2025-07-03T16:44:03.932942,weekly,0.0549,740+
12,2025-02-26T00:00:00,ON,android,organic,,weekly,0.2701,640-679
13,2025-05-31T00:00:00,AB,android,paid_social,,semimonthly,0.4801,580-639
14,2025-07-27T00:00:00,ON,ios,organic,2025-07-29T03:06:53.610477,monthly,0.286,640-679
15,2025-07-14T00:00:00,ON,ios,organic,,biweekly,0.5202,580-639
16,2025-06-28T00:00:00,NB,android,organic,2025-06-28T10:44:16.489689,biweekly,0.3421,640-679
17,2025-03-29T00:00:00,ON,android,affiliate,2025-03-29T04:41:45.332986,biweekly,0.3882,640-679
18,2025-02-09T00:00:00,ON,ios,paid_social,2025-02-09T23:01:17.606995,weekly,0.1673,680-739
19,2025-07-15T00:00:00,QC,android,paid_social,2025-07-15T21:31:44.103131,weekly,0.1295,740+
20,2025-01-27T00:00:00,NS,ios,organic,2025-01-27T03:36:47.982784,monthly,0.1727,680-739
21,2025-04-08T00:00:00,QC,ios,paid_search,2025-04-08T02:55:54.423171,monthly,0.2357,680-739
22,2025-04-02T00:00:00,BC,android,affiliate,,semimonthly,0.1826,680-739
23,2025-06-04T00:00:00,BC,android,organic,2025-06-05T08:40:29.537827,weekly,0.4321,580-639
24,2025-07-26T00:00:00,ON,ios,paid_social,2025-07-26T11:48:32.570163,semimonthly,0.3962,640-679
25,2025-07-06T00:00:00,ON,android,organic,2025-07-06T08:23:27.621996,unknown,0.4248,580-639
26,2025-05-18T00:00:00,QC,ios,paid_social,2025-05-18T06:30:59.208695,semimonthly,0.1283,740+
27,2025-04-07T00:00:00,SK,ios,organic,2025-04-10T07:03:56.533392,biweekly,0.1491,740+
28,2025-05-22T00:00:00,ON,android,organic,2025-05-25T10:32:19.694847,biweekly,0.1327,740+
29,2025-06-10T00:00:00,ON,android,paid_search,,semimonthly,0.3226,640-679
30,2025-05-28T00:00:00,AB,ios,referral,,monthly,0.1136,740+
31,2025-06-30T00:00:00,BC,ios,referral,,biweekly,0.17,680-739
32,2025-01-12T00:00:00,QC,ios,paid_search,2025-01-13T02:48:32.313256,weekly,0.1602,680-739
33,2025-07-17T00:00:00,ON,android,paid_social,2025-07-17T01:35:31.030358,biweekly,0.533,580-639
34,2025-01-21T00:00:00,QC,ios,organic,,biweekly,0.1594,680-739
35,2025-01-26T00:00:00,AB,android,paid_social,2025-01-26T05:42:33.105903,weekly,0.5463,580-639
